course_name,field,duration_years,description,skill_tags,rated
Certificate in Marketing,Education,6,This course focuses on developing skills in education and practical training in marketing.,"legal analysis, case interpretation",False
Diploma in Human Resource Management,Medicine,2,This course focuses on developing skills in medicine and practical training in management.,"communication, public speaking",False
Diploma in Fine Arts,Medicine,6,This course focuses on developing skills in medicine and practical training in arts.,"financial analysis, accounting",False
Diploma in Human Resource Management,Engineering,1,This course focuses on developing skills in engineering and practical training in management.,"legal analysis, case interpretation",True
Certificate in Civil Engineering,Education,2,This course focuses on developing skills in education and practical training in engineering.,"programming, algorithms, software development",False
Diploma in Fine Arts,Psychology,4,This course focuses on developing skills in psychology and practical training in arts.,"data analysis, statistics",False
Certificate in Culinary Arts,Engineering,5,This course focuses on developing skills in engineering and practical training in arts.,"data analysis, statistics",False
Diploma in Accounting,Design,6,This course focuses on developing skills in design and practical training in accounting.,"project management, leadership",False
Certificate in Journalism,Computer Science,5,This course focuses on developing skills in computer science and practical training in journalism.,"legal analysis, case interpretation",True
Diploma in Culinary Arts,Business,1,This course focuses on developing skills in business and practical training in arts.,"project management, leadership",True
Bachelor of Cybersecurity,Arts,6,This course focuses on developing skills in arts and practical training in cybersecurity.,"data analysis, statistics",True
Diploma in Civil Engineering,Education,4,This course focuses on developing skills in education and practical training in engineering.,"programming, algorithms, software development",True
Diploma in Culinary Arts,Design,1,This course focuses on developing skills in design and practical training in arts.,"creative design, illustration",True
Diploma in Psychology,Hospitality,1,This course focuses on developing skills in hospitality and practical training in psychology.,"critical thinking, research",False
Bachelor of Accounting,Design,4,This course focuses on developing skills in design and practical training in accounting.,"project management, leadership",False
Bachelor of Cybersecurity,Engineering,2,This course focuses on developing skills in engineering and practical training in cybersecurity.,"creative design, illustration",True
Bachelor of Journalism,Design,6,This course focuses on developing skills in design and practical training in journalism.,"creative design, illustration",False
Certificate in Business Administration,Agriculture,4,This course focuses on developing skills in agriculture and practical training in administration.,"financial analysis, accounting",False
Bachelor of Business Administration,Education,1,This course focuses on developing skills in education and practical training in administration.,"communication, public speaking",False
Diploma in Psychology,Hospitality,5,This course focuses on developing skills in hospitality and practical training in psychology.,"legal analysis, case interpretation",False
Certificate in Software Development,Education,2,This course focuses on developing skills in education and practical training in development.,"critical thinking, research",True
Certificate in Nursing,Computer Science,4,This course focuses on developing skills in computer science and practical training in nursing.,"creative design, illustration",True
Bachelor of Civil Engineering,Computer Science,4,This course focuses on developing skills in computer science and practical training in engineering.,"financial analysis, accounting",False
Diploma in Cybersecurity,Law,3,This course focuses on developing skills in law and practical training in cybersecurity.,"financial analysis, accounting",True
Diploma in Journalism,Law,2,This course focuses on developing skills in law and practical training in journalism.,"clinical practice, patient care",True
Bachelor of Nursing,Design,6,This course focuses on developing skills in design and practical training in nursing.,"project management, leadership",True
