course_name,job_applicability,future_trends,automation_risk
Electrical Installation,"Graduates of Electrical Installation can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Installation is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Accounting,"Graduates of Accounting can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Accounting is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Data Science,"Graduates of Data Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Data Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Animal Health,"Graduates of Animal Health can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Animal Health is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Automotive Engineering,"Graduates of Automotive Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Automotive Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Computer Science,"Graduates of Computer Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Computer Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Mechanical Engineering,"Graduates of Mechanical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Mechanical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Electrical Engineering,"Graduates of Electrical Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Electrical Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Food and Beverage Production,"Graduates of Food and Beverage Production can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Food and Beverage Production is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Civil Engineering,"Graduates of Civil Engineering can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Civil Engineering is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Human Resource Management,"Graduates of Human Resource Management can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Human Resource Management is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Medium due to changing workflows and technology integration.
Graphic Design,"Graduates of Graphic Design can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Graphic Design is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Finance,"Graduates of Finance can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Finance is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
Economics,"Graduates of Economics can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Economics is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Food and Beverage Production,"Graduates of Food and Beverage Production can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Food and Beverage Production is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: High due to changing workflows and technology integration.
Education Science,"Graduates of Education Science can work in relevant industry roles, apply professional skills, and contribute to sector growth.","The field of Education Science is expected to evolve with technological advancement, global workforce needs, and industry innovation.",Automation Risk: Low due to changing workflows and technology integration.
