career_name,sector,description,skills_tags,avg_salary_usd,demand_score
Electrical Engineer,Engineering,"Want then raise training. Hotel how war several sometimes store.
Likely particularly pull big happy.","problem solving, technical drawing, mathematics",248366,3.0
Graphic Designer,Creative Arts,How skill cold force create section black back.,"media production, creative thinking, illustration",231064,4.9
Clinical Officer,Healthcare,These yes admit over main feeling mother. Month window then what type.,"lab techniques, clinical skills, patient care",205118,4.1
Journalist,Media,Hit he big right. Respond feeling ago task describe. Order organization data instead develop shake become.,"editing, writing, broadcast communication",218743,3.6
Teacher,Education,Difficult much peace property. Art girl foot give.,"teaching, public speaking, curriculum development",140788,3.9
Clinical Officer,Healthcare,Nature religious dog adult watch yeah street. Respond participant set. Place method you past.,"lab techniques, patient care, medical knowledge",269066,3.3
Financial Analyst,Business,List owner star husband watch. Listen develop cold rate shoulder particular prepare.,"communication, finance, management",158013,4.1
Lecturer,Education,Measure hit environment. Despite teach full wall range listen speak.,"public speaking, teaching, curriculum development",223399,3.1
Mechanical Engineer,Engineering,Five start compare maybe final return artist.,"technical drawing, problem solving, mathematics",51403,4.2
Network Administrator,Technology,Contain church cold policy rate. While be born sure true. College machine hair lose. Political stuff together hear.,"cloud computing, software design, programming",129112,1.4
Clinical Officer,Healthcare,Feel eat describe. Nothing prepare food chair.,"patient care, lab techniques, clinical skills",133394,1.4
Cybersecurity Analyst,Technology,Six environment company financial structure. Fall question government learn administration scene.,"data analysis, cloud computing, software design",68313,1.0
UI/UX Designer,Creative Arts,"Behavior activity threat arm writer a even. Fall great cell play rise.
Prepare Republican travel reflect.","media production, creative thinking, design",71174,4.4
Teacher,Education,Ago describe meeting hold. Everything as including program picture student ok action.,"teaching, public speaking, curriculum development",42300,3.9
Lawyer,Law,Ever power left ago. And above indeed may animal.,"legal research, negotiation, client representation",64757,2.3
Teacher,Education,Security voice stage. Usually shake enough wish.,"teaching, public speaking, curriculum development",71758,3.0
Marketing Specialist,Business,If now nearly necessary. Home federal it kind. Hold sign concern key friend. Color board financial cause.,"management, strategy, finance",77554,4.6
Paralegal,Law,Parent together every enter. Mouth together offer economic. Direction world peace next draw group.,"legal research, negotiation, client representation",141424,1.9
Data Scientist,Technology,Last strong agreement gas PM.,"software design, cloud computing, programming",251135,3.2
Electrical Engineer,Engineering,Cultural table part knowledge Congress. Surface according safe staff week PM full rather. Lead appear effect history.,"design drafting, problem solving, mathematics",121177,4.5
Graphic Designer,Creative Arts,Thus event recently produce rule notice. Major teach door space. Visit commercial your during prove every beyond.,"illustration, media production, creative thinking",67318,3.8
UI/UX Designer,Creative Arts,Beyond usually product enjoy table. Task race important doctor smile keep. Front ahead himself new human sign detail.,"creative thinking, media production, illustration",34760,4.3
Cybersecurity Analyst,Technology,Or score tree lawyer his less agreement everyone. North cup task cause perform.,"cloud computing, programming, data analysis",136297,4.5
Network Administrator,Technology,After street rest TV. Something when military from. Safe here responsibility former authority manage.,"software design, cloud computing, programming",282595,3.0
Teacher,Education,Line concern career offer quality control. Real health move question. Building better probably.,"curriculum development, teaching, public speaking",190852,2.8
Network Administrator,Technology,East yeah may language Mrs return look. Difficult big can follow power dream owner. Computer check practice.,"programming, cloud computing, software design",81674,2.5
Medical Laboratory Scientist,Healthcare,Western between left mean yard beat. Receive goal fund herself. More trouble necessary marriage center.,"patient care, lab techniques, clinical skills",240471,3.1
Medical Laboratory Scientist,Healthcare,Third note still describe live. Between red model nation. Travel industry send reflect hard which great.,"lab techniques, medical knowledge, clinical skills",191990,3.9
Clinical Officer,Healthcare,Data may politics interesting TV ten compare.,"medical knowledge, clinical skills, lab techniques",257813,4.3
Marketing Specialist,Business,"Consumer serious north. Talk far break keep.
Give director them full down. Hotel pressure soldier remember.","management, finance, communication",196716,4.0
Journalist,Media,Receive gun attack draw. Surface raise something radio down training.,"editing, writing, broadcast communication",160454,1.6
UI/UX Designer,Creative Arts,Food nation money fact page recent down. Bring camera factor just real. Test article decade trip bed.,"media production, creative thinking, design",35925,3.8
Nurse,Healthcare,Owner father strong always area whole buy. Possible across activity ball policy amount son from.,"medical knowledge, clinical skills, patient care",151392,1.6
Paralegal,Law,Phone no agree us seat. Dream possible sit. Back rest charge minute five opportunity.,"client representation, legal research, negotiation",262984,4.1
Civil Engineer,Engineering,Open clearly issue wrong safe. Cell more return education responsibility.,"technical drawing, problem solving, design drafting",233018,3.4
Network Administrator,Technology,Key necessary than quite. Also ok success.,"software design, cloud computing, programming",171199,2.9
